"DAC","Study Accession","Study Release Date","Embargo End Date","Study Name"
"NHGRI","phs001055.v1.p1","08/25/2017","08/25/2017","Whole Genome Study for De Novo Mutation Rates"
"NHGRI","phs001075.v1.p1","05/04/2018","05/04/2018","Sequencing to Guide Cancer Care (CanSeq)"
"NHGRI","phs001076.v1.p1","05/04/2017","05/04/2017","Inflammatory Bowel Disease Exome Sequencing Study"
"NHGRI","phs001089.v3.p1","04/19/2018","06/15/2017","CSER: Genomic Diagnosis in Children with Developmental Delay (CSER-HudsonAlpha)"
"NHGRI","phs001091.v1.p1","02/07/2018","02/07/2018","Clonal Evolution in Patients with Chronic Lymphocytic Leukemia"
"NHGRI","phs001105.v1.p1","09/12/2017","09/12/2017","NHGRI-Mayo Clinic Whole Genome Sequencing of Aggressive Prostate Tumors"
"NHGRI","phs001106.v1.p1","10/17/2018","10/17/2018","Genomics of Hepatocellular Carcinoma"
"NHGRI","phs001127.v1.p1","09/15/2016","09/15/2016","Genomic Analysis of Paired Endometrial Cancer Primaries and Metastases"
"NHGRI","phs001153.v1.p1","09/25/2017","09/25/2017","Somatic Mutational Analysis by Exome Sequencing Late-Stage Endometrioid Endometrial Carcinoma"
"NHGRI","phs001165.v1.p1","05/25/2018","05/25/2018","eMERGE: Children's Hospital of Philadelphia - WGS"
"NHGRI","phs001174.v1.p1","04/20/2017","04/20/2017","Female Infertility: Primary ovarian insufficiency"
"NHGRI","phs001188.v2.p1","12/27/2019","12/27/2019","The FUSION Study - Islet Expression and Regulation"
"NHGRI","phs001191.v1.p1","10/03/2017","10/03/2017","NUgene WGS"
"NHGRI","phs001214.v1.p1","10/31/2016","10/31/2016","DNA and RNA Profiling Using Simultaneous Sequencing (Simul-seq)"
"NHGRI","phs001224.v1.p1","11/23/2016","11/23/2016","Platinum Genomes"
"NHGRI","phs001229.v1.p1","07/21/2017","07/21/2017","Sequencing Follicular Lymphoma"
"NHGRI","phs001230.v1.p1","02/13/2020","02/13/2020","Estonian Biobank | Estonian Genome Center, University of Tartu"
"NHGRI","phs001232.v2.p1","05/14/2020","05/14/2020","Undiagnosed Diseases Network (UDN)"
"NHGRI","phs001242.v1.p1","01/19/2017","01/19/2017","Small genomic insertions form enhancers that misregulate oncogenes"
"NHGRI","phs001244.v1.p1","02/21/2017","02/21/2017","Nasopharynx Cancer Whole Exome Sequencing"
"NHGRI","phs001250.v1.p1","06/27/2017","06/27/2017","Sequencing of Coding and Non-coding Regions in Primary Breast Cancers and Patient-matched Controls"
"NHGRI","phs001251.v1.p1","02/02/2017","02/02/2017","Family-Based Study on Ulcerative Colitis with Whole Exome Sequencing"
"NHGRI","phs001259.v1.p1","07/03/2019","07/03/2019","CCDG CVD: VIRGO - Variation in Recover-Role of Gender on Outcomes of Young Acute Myocardial Infarction (AMI) Patients"
"NHGRI","phs001272.v1.p1","11/20/2018","11/20/2018","Broad Institute Center for Mendelian Genomics"
"NHGRI","phs001277.v1.p1","11/01/2017","11/01/2017","NHGRI Genome Integrity of iPSCs Study"
"NHGRI","phs001283.v1.p1","08/01/2017","08/01/2017","Complete Genomics WGS of Fetal Genomes from Amniotic Samples"
"NHGRI","phs001291.v1.p1","04/24/2018","04/24/2018","Neoadjuvant Trastuzumab Response in Breast Cancer"
"NHGRI","phs001348.v2.p1","12/13/2017","12/13/2017","Biesecker Lab (NHGRI) Whole Genome Medical Sequencing for Gene Discovery"
"NHGRI","phs001357.v1.p1","10/13/2017","10/13/2017","The Genomic Landscape of Tuberous Sclerosis Complex (TSC)"
"NHGRI","phs001362.v1.p1","06/09/2017","06/09/2017","Linked Read Sequencing of Gastric Cancer Metastases"
"NHGRI","phs001366.v1.p1","01/08/2018","01/08/2018","Pilot Study of Exome and mRNA Profiling in Small Cell Lung Cancer Patients"
"NHGRI","phs001370.v1.p1","07/30/2019","07/30/2019","Whole Exome Sequencing of Uveal Melanoma"
"NHGRI","phs001378.v1.p1","05/07/2019","05/07/2019","scRNA-Seq Reveals Lymphoma B Cell Diversity and T Cell Immune Checkpoint Co-Expression"
"NHGRI","phs001398.v1.p1","08/09/2018","08/09/2018","Center for Common Disease Genomics [CCDG] - Cardiovascular: The Bangladesh Risk of Acute Vascular Events (BRAVE) Study"
"NHGRI","phs001400.v1.p1","11/13/2017","11/13/2017","Advanced Genomic Techniques in Sequencing of Colorectal Cancer"
"NHGRI","phs001427.v1.p1","02/21/2018","02/21/2018","Resistance of Melanoma Tumors to Checkpoint Blockade Therapy"
"NHGRI","phs001460.v1.p1","12/10/2019","12/10/2019","Genomic-Enabled Medicine for Recurrent Glioblastoma"
"NHGRI","phs001487.v1.p1","08/15/2018","08/15/2018","Center Common Disease Genomics [CCDG] - CVD - TAICHI"
"NHGRI","phs001489.v1.p1","12/21/2018","12/21/2018","CCDG NP Epilepsy: Epi25 Consortium"
"NHGRI","phs001584.v1.p1","07/11/2019","07/11/2019","eMERGE Network Phase III: HRC Imputed Array Data of 83,000+ Participants"
"NHGRI","phs001616.v1.p1","05/01/2019","05/01/2019","eMERGE Network Phase III Clinical Sequencing: eMERGEseq Panel"
"NHGRI","phs001627.v1.p1","07/24/2018","07/24/2018","Single-Cell DNA Sequencing of AML with Droplet Microfluidics"
"NHGRI","phs001646.v1.p1","10/26/2018","10/26/2018","Regulatory Changes in Glioblastoma Brain Tumors and Xenografts"
"NHGRI","phs001683.v2.p1","07/17/2020","08/20/2019","CSER: Incorporation of Genomic Sequencing into Pediatric Cancer Care"
"NHGRI","phs001699.v1.p1","03/29/2019","03/29/2019","Germline DNA Methylation Associated with Breast Cancer Predisposition"
"NHGRI","phs001701.v1.p1","09/24/2019","09/24/2019","INGENIOUS"
"NHGRI","phs001740.v1.p1","08/02/2019","08/02/2019","CCDG- Neuropsychiatric: Autism- Study of Autism Genetics Exploration (SAGE)"
"NHGRI","phs001741.v1.p1","03/12/2020","03/12/2020","CCDG- Neuropsychiatric: Autism- The Autism Simplex Collection (TASC)"
"NHGRI","phs001746.v1.p1","05/06/2019","05/06/2019","A Genomic Atlas of Systemic Interindividual Epigenetic Variation in Humans (GTEx)"
"NHGRI","phs001766.v1.p1","06/05/2020"," ","CCDG-Neuropsychiatric: Autism- Autism Genetic Resource Exchange (AGRE)"
"NHGRI","phs001798.v1.p1","09/18/2019","09/18/2019","A New Reference Panel to Boost African American Genotype Imputation"
"NHGRI","phs001867.v1.p1","08/06/2019","08/06/2019","Detection of Somatic Mutations In Vitro Aging Cells"
"NHGRI","phs001872.v1.p1","10/25/2019","10/25/2019","Genome Sequencing of Large, Multigenerational CEPH/Utah Families"
"NHGRI","phs001887.v1.p1","10/31/2019","10/31/2019","Single-Sperm Genome Sequencing"
"NHGRI","phs001959.v1.p1","06/02/2020","06/02/2020","Nanopore Sequencing of Chronic Lymphocytic Leukemia"
"NHGRI","phs002004.v1.p1","04/16/2020"," ","CCDG-Neuropsychiatric: A Study of the Genetic Causes of Complex Pediatric Disorders"
"NHGRI","phs002018.v1.p1","04/27/2020"," ","Center Common Disease Genomics [CCDG] - Cardiovascular: Partners Biobank"
"NHGRI","phs002030.v1.p1","07/10/2020","07/10/2020","Impact of Mobile Element Insertions on Human Transcriptome Variation"
"NHLBI","phs000007.v31.p12","03/30/2020","03/30/2020","Framingham Cohort"
"NHLBI","phs000128.v3.p3","07/28/2010","10/19/2008","GAW16 Framingham and Simulated Data"
"NHLBI","phs000153.v9.p8","03/02/2016","06/26/2010","Framingham SHARe Social Network"
"NHLBI","phs000166.v2.p1","09/09/2009","12/11/2009","SNP Health Association Resource (SHARe) Asthma Resource Project (SHARP)"
"NHLBI","phs000179.v6.p2","05/03/2019","09/19/2015","Genetic Epidemiology of COPD (COPDGene)"
"NHLBI","phs000185.v7.p1","06/24/2020","06/24/2020","Genetic Studies in the Hutterites"
"NHLBI","phs000200.v12.p3","10/11/2019","10/11/2019","Women's Health Initiative"
"NHLBI","phs000204.v1.p1","08/19/2010","08/19/2010","Genetic Analysis of Limb Malformation Disorders: Freeman Sheldon Syndrome Exome Sequencing Study (LMD-FSS)"
"NHLBI","phs000209.v13.p3","11/18/2014","11/18/2015","Multi-Ethnic Study of Atherosclerosis (MESA) Cohort"
"NHLBI","phs000221.v1.p1","06/21/2011"," ","NHLBI Family Heart Study (FamHS)"
"NHLBI","phs000244.v1.p1","08/19/2010","08/19/2010","Genetic Analysis of Limb Malformation Disorders: Miller Syndrome Sequencing Study (LMD-MS)"
"NHLBI","phs000254.v2.p1","10/24/2012","12/26/2014","NHLBI GO-ESP: Lung Cohorts Exome Sequencing Project (Cystic Fibrosis)"
"NHLBI","phs000276.v2.p1","01/24/2014","01/24/2014","STAMPEED: Northern Finland Birth Cohort 1966 (NFBC1966)"
"NHLBI","phs000279.v2.p1","10/25/2013","04/12/2016","NHLBI GO-ESP: Early-Onset Myocardial Infarction (Broad EOMI)"
"NHLBI","phs000280.v7.p1","06/30/2020","01/21/2020","Atherosclerosis Risk in Communities (ARIC) Cohort"
"NHLBI","phs000284.v2.p1","12/03/2018","02/08/2011","NHLBI Cleveland Family Study (CFS) Candidate Gene Association Resource (CARe)"
"NHLBI","phs000285.v3.p2","08/22/2013","08/22/2014","CARDIA Cohort"
"NHLBI","phs000286.v6.p2","05/10/2019","05/10/2019","The Jackson Heart Study (JHS)"
"NHLBI","phs000287.v7.p1","04/29/2020","01/13/2018","Cardiovascular Health Study (CHS) Cohort"
"NHLBI","phs000290.v1.p1","09/06/2011","12/06/2011","NHLBI GO-ESP: Lung Cohorts Exome Sequencing Project (Pulmonary Arterial Hypertension)"
"NHLBI","phs000291.v2.p1","05/21/2012","08/21/2012","NHLBI GO-ESP: Lung Cohorts Exome Sequencing Project (Lung Health Study of Chronic Obstructive Pulmonary Disease)"
"NHLBI","phs000294.v1.p1","08/24/2010","08/24/2010","Myocardial Infarction Genetics Consortium (MIGen)"
"NHLBI","phs000304.v3.p1","05/11/2018","05/28/2016","Genes and Blood Clotting Study (GABC)"
"NHLBI","phs000327.v1.p1","03/25/2013","06/25/2013","NHLBI GO-ESP: Heart Cohorts Exome Sequencing Project (SWISS)"
"NHLBI","phs000331.v1.p1","03/30/2012","03/30/2013","PGRN-RIKEN: Genome-Wide Association Study of Drug-Induced Long-QT Syndrome"
"NHLBI","phs000335.v3.p2","06/24/2015","06/24/2016","Genome-Wide associations of Lung Health Study (LHS)"
"NHLBI","phs000347.v1.p1","07/10/2013","10/10/2013","NHLBI GO-ESP: Family Studies (Aortic Disease)"
"NHLBI","phs000349.v1.p1","05/05/2011","05/05/2011","SNPs and Extent of Atherosclerosis (SEA) Study"
"NHLBI","phs000354.v1.p1","09/27/2013","12/27/2013","NHLBI GO-ESP Family Studies: Pulmonary Arterial Hypertension"
"NHLBI","phs000355.v1.p1","10/28/2011"," ","Genome Wide Association for Asthma and Lung Function"
"NHLBI","phs000362.v1.p1","08/28/2013","11/28/2013","NHLBI GO-ESP: Family Studies: (Familial Atrial Fibrillation)"
"NHLBI","phs000366.v1.p1","08/02/2011"," ","NHLBI: Cooperative Study of Sickle Cell Disease (CSSCD)"
"NHLBI","phs000375.v1.p1","02/07/2012"," ","Genome-Wide Association of Platelet Phenotypes"
"NHLBI","phs000379.v1.p1","10/05/2011"," ","Genetic Epidemiology Network of Arteriopathy (GENOA)"
"NHLBI","phs000391.v1.p1","12/11/2012","12/11/2013","Pharmacogenomics of Anti-Platelet Intervention (PAPI) Study"
"NHLBI","phs000422.v1.p1","05/16/2013","08/16/2013","NHLBI GO-ESP: Lung Cohorts Exome Sequencing Project (Asthma)"
"NHLBI","phs000423.v1.p1","03/09/2012"," ","GWAS for Early Onset Coronary Disease (ADVANCE)"
"NHLBI","phs000438.v1.p1","09/30/2014","09/30/2015","PGRN-RIKEN: Identification of Genetic Predictors of ACE Inhibitor-Associated Angioedema"
"NHLBI","phs000439.v1.p1","09/05/2012","09/05/2013","PGRN-RIKEN: Rate Control Therapy in Patients with Atrial Fibrillation"
"NHLBI","phs000442.v1.p1","04/12/2012","04/12/2013","Drug Resistant Hypertension in African Americans' Exome"
"NHLBI","phs000479.v1.p1","04/25/2013","04/25/2014","NHLBI Exome Sequencing in SCID"
"NHLBI","phs000481.v3.p2","07/31/2020","07/31/2020","Cholesterol and Pharmacogenetics (CAP) Study"
"NHLBI","phs000507.v2.p2","07/10/2019","07/10/2019","Benign Ethnic Neutropenia/Leukopenia (BEN) in African-Americans"
"NHLBI","phs000518.v1.p1","10/12/2012","01/12/2013","NHLBI GO-ESP Family Studies: Idiopathic Bronchiectasis"
"NHLBI","phs000546.v1.p1","07/10/2013","10/10/2013","NHLBI GO-ESP: Heart Cohorts Exome Sequencing Project (ISGS)"
"NHLBI","phs000549.v1.p1","06/13/2013","06/13/2013","Clonal Evolution of Pre-Leukemic HSC Precedes Human AML"
"NHLBI","phs000553.v1.p1","06/27/2013","06/27/2014","Familial Exome Sequencing in Rare Pediatric Phenotypes"
"NHLBI","phs000556.v1.p1","07/10/2013","10/10/2013","NHLBI GO-ESP: Family Studies (Atypical Cystic Fibrosis)"
"NHLBI","phs000580.v1.p1","06/12/2013"," ","PAGE: CALiCo: Strong Heart Study (SHS)"
"NHLBI","phs000581.v1.p1","06/11/2013","09/11/2013","NHLBI GO-ESP: Family Studies (Dilated Cardiomyopathy)"
"NHLBI","phs000582.v1.p1","05/16/2013","08/16/2013","NHLBI GO-ESP: Family Studies (Familial Interstitial Pneumonia)"
"NHLBI","phs000585.v2.p1","10/26/2016","10/26/2016","International Consortium for Blood Pressure (ICBP)"
"NHLBI","phs000587.v1.p1","04/28/2014","07/28/2014","NHLBI GO-ESP: Family Studies (Mendelian Lipid Disorders)"
"NHLBI","phs000617.v1.p1","06/16/2016","06/16/2017","KCNE1Polymorphism as Possible Modulator of Drug-Induced TdP"
"NHLBI","phs000618.v1.p1","10/25/2013","10/25/2013","Hypertriglyceridemia Study in Mexicans"
"NHLBI","phs000624.v1.p1","11/15/2019","11/15/2019","The Lung Genomics Research Consortium (LGRC)"
"NHLBI","phs000631.v1.p1","01/15/2014","01/15/2015","ARDSnet and the iSPAAR Consortium: Genetic Studies"
"NHLBI","phs000632.v1.p1","01/30/2014","04/30/2014","NHLBI GO-ESP: Family Studies (Hematological Cancers)"
"NHLBI","phs000633.v1.p1","03/21/2014","03/21/2014","Enrichment of Lung Microbiome Associated with Pulmonary Inflammation"
"NHLBI","phs000647.v1.p1","12/20/2013","12/20/2013","Study of Adaptation to Hypoxia in Ethiopian Highlanders"
"NHLBI","phs000703.v1.p1","07/30/2014","07/30/2014","CATHeterization GENetics (CATHGEN)"
"NHLBI","phs000708.v1.p1","10/01/2015","10/01/2015","Warfarin Pharmacogenetics: Pharmacogenetic Optimization of Anticoagulant Response (POAT) and Genetic and Environmental Determinants of Warfarin Response (GEDWR)"
"NHLBI","phs000741.v2.p1","11/29/2016","11/29/2016","Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study"
"NHLBI","phs000751.v1.p1","06/25/2014","06/25/2014","GWAS in Fibrosing Interstitial Lung Disease"
"NHLBI","phs000758.v1.p1","10/07/2014","10/07/2015","Family Genomics of Congenital Heart Defects"
"NHLBI","phs000769.v1.p1","11/20/2015","11/20/2016","NHLBI Lung HIV Microbiome Project (LHMP)"
"NHLBI","phs000784.v3.p1","11/27/2019","11/05/2014","Genetic Epidemiology Network of Salt Sensitivity (GenSalt)"
"NHLBI","phs000806.v1.p1","03/24/2016","03/24/2016","MIGen_ExS: Ottawa Heart Study"
"NHLBI","phs000810.v1.p1","12/07/2015","12/17/2016","Hispanic Community Health Study /Study of Latinos (HCHS/SOL)"
"NHLBI","phs000814.v1.p1","01/21/2016","01/21/2016","MIGen_ExS: Italian Atherosclerosis Thrombosis and Vascular Biology"
"NHLBI","phs000820.v1.p1","11/17/2015","11/17/2015","CCF AFIB GWAS study"
"NHLBI","phs000821.v1.p1","11/12/2014","11/12/2015","DNA Methylation age and mortality in the Lothian Birth Cohorts"
"NHLBI","phs000873.v1.p1","04/15/2015","04/15/2015","Exome sequencing of a family with thrombocytopenia and leukemia"
"NHLBI","phs000883.v1.p1","01/29/2016","01/29/2016","MIGen_ExS: PROCARDIS"
"NHLBI","phs000886.v1.p1","06/08/2016","06/08/2016","An Omics View of Asthma through Monozygotic Twins"
"NHLBI","phs000902.v1.p1","01/21/2016","01/21/2016","MIGen_ExS: Regicor"
"NHLBI","phs000914.v1.p1","06/06/2016","06/06/2017","Genome-wide Association Study of Adiposity in Samoans"
"NHLBI","phs000916.v1.p1","07/28/2016","07/28/2016","MIGen_ExS: Munich-MI"
"NHLBI","phs000917.v1.p1","01/26/2016","01/26/2016","MIGen_ExS: PROMIS"
"NHLBI","phs000920.v4.p2","02/12/2020","02/12/2020","NHLBI TOPMed - NHGRI CCDG: Genes-Environments and Admixture in Latino Asthmatics (GALA II)"
"NHLBI","phs000921.v4.p1","01/06/2020","01/06/2020","NHLBI TOPMed: Study of African Americans, Asthma, Genes and Environment (SAGE)"
"NHLBI","phs000924.v4.p1","03/13/2020","03/06/2019","NextGen Consortium: The iPSCORE (iPSC Collection for Omic Research) Resource"
"NHLBI","phs000930.v8.p1","10/06/2020","03/17/2017","CHARGE (Cohorts for Heart and Aging Research in Genomic Epidemiology)"
"NHLBI","phs000936.v1.p1","02/01/2016","02/01/2016","NHLBI GO-ESP: Early-Onset Myocardial Infarction Exome Chip (Broad EOMI)"
"NHLBI","phs000946.v4.p1","01/31/2020","01/31/2020","NHLBI TOPMed: Boston Early-Onset COPD Study in the TOPMed Program"
"NHLBI","phs000951.v4.p4","05/19/2020","05/19/2020","NHLBI TOPMed: Genetic Epidemiology of COPD (COPDGene)"
"NHLBI","phs000954.v3.p2","12/16/2019","12/16/2019","NHLBI TOPMed: The Cleveland Family Study (CFS)"
"NHLBI","phs000956.v4.p1","11/04/2019","11/04/2019","NHLBI TOPMed: Genetics of Cardiometabolic Health in the Amish"
"NHLBI","phs000963.v1.p1","05/16/2016","05/16/2017","PGRN-RIKEN:Genetic Determinants of Cardiovascular Events while on Statins"
"NHLBI","phs000964.v4.p1","01/24/2020","01/24/2020","NHLBI TOPMed: The Jackson Heart Study (JHS)"
"NHLBI","phs000972.v4.p1","10/03/2019","10/03/2019","NHLBI TOPMed: Genome-wide Association Study of Adiposity in Samoans"
"NHLBI","phs000974.v4.p3","12/04/2019","12/04/2019","NHLBI TOPMed: Whole Genome Sequencing and Related Phenotypes in the Framingham Heart Study"
"NHLBI","phs000987.v1.p1","04/07/2017","10/07/2017","Whole Exome Sequence of 184 Individuals with 22q11.2 Deletion Syndrome"
"NHLBI","phs000988.v4.p1","04/07/2020","04/07/2020","NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica"
"NHLBI","phs000990.v1.p1","05/04/2016","05/04/2016","MIGen_ExS: University of Lubeck"
"NHLBI","phs000993.v4.p2","10/17/2019","10/17/2019","NHLBI TOPMed: Heart and Vascular Health Study (HVH)"
"NHLBI","phs000997.v4.p2","03/06/2020","03/06/2020","NHLBI TOPMed - NHGRI CCDG: The Vanderbilt AF Ablation Registry"
"NHLBI","phs000998.v2.p1","09/03/2020","09/03/2020","Transcriptome Profile of Endothelial Cells in PAH Patients vs Controls"
"NHLBI","phs001000.v1.p1","04/12/2016","04/12/2016","MIGen_ExS: U. of Leicester"
"NHLBI","phs001001.v1.p1","03/06/2018","03/06/2018","MGH Atrial Fibrillation Study"
"NHLBI","phs001008.v1.p1","03/14/2016","03/14/2017","GUARDIAN: IRAS FAMILY STUDY (IRASFS)"
"NHLBI","phs001009.v1.p1","04/07/2016","04/07/2016","Determinants of Asthma Following RSV Bronchiolitis in Early Life"
"NHLBI","phs001012.v1.p1","11/15/2016","11/15/2017","The Diabetes Heart Study (DHS)"
"NHLBI","phs001013.v3.p2","01/16/2018","01/16/2018","Heart and Vascular Health Study (HVH)"
"NHLBI","phs001014.v1.p1","03/01/2016","03/01/2017","GUARDIAN: IRAS (IRAS Classic)"
"NHLBI","phs001024.v4.p1","02/12/2020","02/12/2020","NHLBI TOPMed: Partners HealthCare Biobank"
"NHLBI","phs001032.v5.p2","01/24/2020","01/24/2020","NHLBI TOPMed: The Vanderbilt Atrial Fibrillation Registry (VU_AF)"
"NHLBI","phs001040.v4.p1","04/21/2020","04/21/2020","NHLBI TOPMed: Novel Risk Factors for the Development of Atrial Fibrillation in Women"
"NHLBI","phs001058.v1.p1","02/19/2016","02/19/2016","MIGen_ExS: BioImage Study"
"NHLBI","phs001062.v4.p2","05/14/2020","05/14/2020","NHLBI TOPMed - NHGRI CCDG: MGH Atrial Fibrillation Study"
"NHLBI","phs001074.v1.p1","08/23/2016","08/23/2016","GeneSTAR NextGen Functional Genomics of Platelet Aggregation"
"NHLBI","phs001101.v1.p1","08/10/2016","08/10/2016","MIGen_ExS: MDC"
"NHLBI","phs001123.v2.p1","04/07/2020","04/07/2020","Consortium on Asthma among African-ancestry Populations in the Americas"
"NHLBI","phs001130.v1.p1","09/28/2018","09/28/2018","NIDDM-Atherosclerosis Study (NIDDM-Athero)"
"NHLBI","phs001139.v1.p1","02/27/2017","02/27/2018","NextGen/GENESiPS"
"NHLBI","phs001143.v3.p1","11/20/2019","11/20/2019","NHLBI TOPMed: The Genetics and Epidemiology of Asthma in Barbados"
"NHLBI","phs001156.v2.p1","05/08/2018","05/08/2018","The EVE Asthma Genetics Consortium: Building Upon GWAS"
"NHLBI","phs001180.v2.p1","07/01/2020","12/20/2017","Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study"
"NHLBI","phs001189.v3.p1","03/16/2020","03/16/2020","NHLBI TOPMed: Cleveland Clinic Atrial Fibrillation (CCAF) Study"
"NHLBI","phs001194.v2.p2","09/14/2018","11/09/2017","Pediatric Cardiac Genomics Consortium (PCGC) Study"
"NHLBI","phs001203.v1.p1","12/14/2016","12/14/2016","Stockholm-Tartu Atherosclerosis Reverse Network Engineering Task (STARNET)"
"NHLBI","phs001207.v2.p1","02/21/2020","02/21/2020","NHLBI TOPMed: African American Sarcoidosis Genetics Resource"
"NHLBI","phs001211.v3.p2","02/25/2020","02/25/2020","NHLBI TOPMed - NHGRI CCDG: Atherosclerosis Risk in Communities (ARIC)"
"NHLBI","phs001212.v1.p1","12/11/2017","12/11/2017","NextGen Consortium: Globin Gene Expression in Sickle Cell Genotype-Specific iPS Cells"
"NHLBI","phs001215.v3.p2","02/13/2020","02/13/2020","NHLBI TOPMed: San Antonio Family Heart Study (SAFHS)"
"NHLBI","phs001216.v1.p1","04/21/2017","04/21/2017","A Genome-Wide Association Study for Post-bronchodilator Lung Function in Children with Asthma"
"NHLBI","phs001217.v2.p1","12/17/2019","12/17/2019","NHLBI TOPMed: Genetic Epidemiology Network of Salt Sensitivity (GenSalt)"
"NHLBI","phs001218.v2.p1","12/11/2019","12/11/2019","NHLBI TOPMed: Genetic Study of Atherosclerosis Risk (GeneSTAR)"
"NHLBI","phs001236.v1.p1","09/27/2017","09/27/2017","Genetic analysis of Tuberous Sclerosis Complex (TSC) hypomelanotic macules"
"NHLBI","phs001237.v2.p1","11/20/2019","11/20/2019","NHLBI TOPMed: Women's Health Initiative (WHI)"
"NHLBI","phs001238.v2.p1","08/08/2018","09/08/2017","Genetic Epidemiology Network of Arteriopathy (GENOA)"
"NHLBI","phs001252.v1.p1","07/25/2017","07/25/2017","Evaluation of COPD Longitudinally to Identify Predictive Surrogate Endpoints (ECLIPSE)"
"NHLBI","phs001256.v2.p1","05/16/2017","04/26/2017","Hypoplastic Left Heart Syndrome Study"
"NHLBI","phs001258.v2.p1","09/11/2020","07/25/2017","Total exRNA Profiles from Plasma, Saliva, and Urine of Healthy Subjects"
"NHLBI","phs001293.v2.p1","01/23/2020","01/23/2020","NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy"
"NHLBI","phs001297.v1.p1","06/16/2017","06/16/2017","PROP Functional and Lymphocytic Markers of Respiratory Morbidity in Hyperoxic Preemies"
"NHLBI","phs001325.v3.p1","05/20/2020","05/20/2020","NextGen Consortium: The iPSCORE (iPSC Collection for Omic Research) Resource - Whole Genome Sequence"
"NHLBI","phs001338.v1.p1","07/03/2017","07/03/2017","Tibetan Population History and High Altitude Adaptation Study"
"NHLBI","phs001341.v1.p1","05/04/2018","05/04/2018","NextGen Consortium: iPS Derived Hepatocytes Study (PhLiPS Study)"
"NHLBI","phs001342.v1.p1","09/06/2018","09/06/2018","Genetic Susceptibility to Statin-Induced Myopathy"
"NHLBI","phs001345.v2.p1","11/21/2019","11/21/2019","NHLBI TOPMed: Genetic Epidemiology Network of Arteriopathy (GENOA)"
"NHLBI","phs001359.v2.p1","01/30/2020","01/30/2020","NHLBI TOPMed: Genetics of Lipid Lowering Drugs and Diet Network (GOLDN)"
"NHLBI","phs001368.v2.p2","11/20/2019","11/20/2019","NHLBI TOPMed: Cardiovascular Health Study"
"NHLBI","phs001387.v2.p1","03/19/2020","03/19/2020","NHLBI TOPMed: Rare Variants for Hypertension in Taiwan Chinese (THRV)"
"NHLBI","phs001394.v1.p1","01/03/2018","01/03/2018","Hypertension-Insulin Resistance Family Study (HTN-IR)"
"NHLBI","phs001395.v1.p1","12/03/2019","12/03/2019","NHLBI TOPMed - NHGRI CCDG: Hispanic Community Health Study/Study of Latinos (HCHS/SOL)"
"NHLBI","phs001397.v1.p1","01/03/2018","01/03/2018","Mexican-American Coronary Artery Disease Study (MACAD)"
"NHLBI","phs001402.v2.p1","10/18/2019","10/18/2019","NHLBI TOPMed: Whole Genome Sequencing of Venous Thromboembolism (WGS of VTE)"
"NHLBI","phs001411.v1.p1","04/12/2018","04/12/2018","Action to Control Cardiovascular Risk in Diabetes (ACCORD)"
"NHLBI","phs001412.v2.p1","01/23/2020","01/23/2020","NHLBI TOPMed: Diabetes Heart Study (DHS) African American Coronary Artery Calcification (AA CAC)"
"NHLBI","phs001416.v2.p1","10/15/2019","10/15/2019","NHLBI TOPMed: MESA and MESA Family AA-CAC"
"NHLBI","phs001434.v1.p1","02/14/2020","02/14/2020","NHLBI TOPMed: University of Massachusetts Medical School (UMMS) miRhythm Study"
"NHLBI","phs001435.v1.p1","04/22/2020","04/22/2020","NHLBI TOPMed: Australian Familial Atrial Fibrillation Study"
"NHLBI","phs001446.v1.p1","12/03/2019","12/03/2019","NHLBI TOPMed: Severe Asthma Research Program (SARP)"
"NHLBI","phs001466.v1.p1","11/21/2019","11/21/2019","NHBLI TOPMed: Pharmacogenomics of Hydroxyurea in Sickle Cell Disease (PharmHU)"
"NHLBI","phs001467.v1.p1","01/23/2020","01/23/2020","NHLBI TOPMed: Study of Asthma Phenotypes and Pharmacogenomic Interactions by Race-Ethnicity (SAPPHIRE)"
"NHLBI","phs001468.v2.p1","05/19/2020","10/28/2019","NHLBI TOPMed: REDS-III Brazil Sickle Cell Disease Cohort (REDS-BSCDC)"
"NHLBI","phs001472.v1.p1","04/08/2020","04/08/2020","NHLBI TOPMed: Evaluation of COPD Longitudinally to Identify Predictive Surrogate Endpoints (ECLIPSE)"
"NHLBI","phs001492.v1.p1","03/13/2018","03/13/2018","GWAS on Calcific Aortic Valve Stenosis in Quebec (QUEBEC-CAVS)"
"NHLBI","phs001496.v1.p1","12/07/2018","12/07/2018","A Genomic Approach to Warfarin Dose Prescription in Admixed Caribbean Hispanics"
"NHLBI","phs001502.v1.p1","09/12/2019","09/12/2019","CCDG-Cardiovascular: University of Pennsylvania Cohort"
"NHLBI","phs001514.v1.p1","01/28/2020","01/28/2020","NHLBI TOPMed: Walk-PHaSST SCD"
"NHLBI","phs001515.v1.p1","11/04/2019","11/04/2019","NHLBI TOPMed: MyLifeOurFuture (MLOF) Hemophilia Study"
